id,fit
1,7446.50086240764
2,7374.85444634432
3,7942.17494668607
4,6949.94937256393
5,8812.72339708568
6,7845.68745051884
7,7496.53157006685
8,7496.53157006685
9,6971.58278642786
10,7374.85444634432
11,7339.93552845039
12,7905.65244075669
13,8367.08002046646
14,6971.58278642786
15,7353.41533942593
16,7128.17882804431
17,6353.70177019754
18,8367.08002046646
19,7713.90409825199
20,7374.85444634432
21,8656.12735546922
22,7374.85444634432
23,7785.57890506961
24,7128.17882804431
25,8812.72339708568
26,8210.48397885
27,8120.40440216646
28,7663.90178134708
29,7374.85444634432
30,7374.85444634432
31,7963.80836055
32,8367.08002046646
33,7218.25840472786
34,6353.70177019754
35,7021.58510333277
36,8442.65775392716
37,7896.07555642423
38,7749.05639914023
39,6353.70177019754
40,8120.40440216646
41,7963.80836055
42,7942.17494668607
43,7943.08074300566
44,8120.40440216646
45,7460.00906413747
46,7820.49782296354
47,7389.93784535531
48,8210.48397885
49,6311.18744839887
50,7905.65244075669
51,7496.53157006685
52,7993.08305991057
53,8731.31929992944
54,7374.85444634432
55,7128.17882804431
56,7942.17494668607
57,7820.49782296354
58,7785.57890506961
59,8409.45173716922
60,7943.08074300566
61,6913.42686663455
62,6353.70177019754
63,7128.17882804431
64,7374.85444634432
65,7820.49782296354
66,8812.72339708568
67,7374.85444634432
68,7128.17882804431
69,7820.49782296354
70,6361.18976530378
71,7268.26072163277
72,7374.85444634432
73,8656.12735546922
74,8210.48397885
75,8013.81067745491
76,7417.22616304707
77,7339.93552845039
78,7374.85444634432
79,7460.00906413747
80,7845.68745051884
81,8409.45173716922
82,7942.17494668607
83,7942.17494668607
84,7943.08074300566
85,7845.68745051884
86,8409.45173716922
87,7963.80836055
88,7820.49782296354
89,7785.57890506961
90,7942.17494668607
91,6950.85516888352
92,7942.17494668607
93,7820.49782296354
94,7218.25840472786
95,6971.58278642786
96,7943.08074300566
97,7128.17882804431
98,7000.85748578843
99,7713.90409825199
100,7963.80836055
101,6950.85516888352
102,8120.40440216646
103,7128.17882804431
104,7128.17882804431
105,8099.67678462212
106,7353.41533942593
107,7820.49782296354
108,6353.70177019754
109,8566.04777878567
110,7128.17882804431
111,8210.48397885
112,8656.12735546922
113,6971.58278642786
